transaction_id,client_id,transaction_date,transaction_type,amount,currency
TX00103,2,2024-01-04 18:38:15,Перевод,7407.27,EUR
TX00104,208,2024-01-02 22:53:04,Перевод,4216.69,UZS
TX00105,104,2024-06-08 05:16:51,Комиссия,1192.26,EUR
TX00106,59,2024-02-29 08:59:58,Пополнение,1284.1,EUR
TX00107,142,2024-02-15 16:58:19,Комиссия,4973.3,USD
TX00108,198,2024-03-25 01:00:13,Покупка,5287.09,UZS
TX00109,131,2024-06-24 17:01:48,Перевод,2551.02,USD
TX00110,91,2024-01-02 12:54:09,Снятие,8005.56,UZS
TX00111,89,2024-02-15 00:13:50,Снятие,520.03,EUR
TX00112,269,2024-06-08 13:15:41,Пополнение,4310.86,EUR
TX00113,239,2024-02-17 05:18:43,Покупка,3169.18,EUR
TX00114,96,2024-05-11 11:40:03,Комиссия,8532.74,EUR
TX00115,20,2024-01-29 10:01:49,Пополнение,4617.39,USD
TX00116,66,2024-01-15 18:55:08,Покупка,3700.01,RUB
TX00117,12,2024-06-10 07:36:40,Пополнение,9658.95,RUB
TX00118,253,2024-01-18 16:11:38,Снятие,8598.27,RUB
TX00119,222,2024-02-07 05:24:59,Комиссия,1047.23,RUB
TX00120,187,2024-04-10 06:56:51,Покупка,6481.59,UZS
TX00121,155,2024-03-20 12:46:32,Комиссия,7901.89,RUB
TX00122,288,2024-03-30 20:19:46,Перевод,9048.64,RUB
TX00123,196,2024-01-13 21:59:30,Перевод,6721.23,EUR
TX00124,235,2024-01-02 23:43:56,Снятие,1982.97,EUR
TX00125,249,2024-04-09 08:08:31,Покупка,3489.87,UZS
TX00126,88,2024-04-07 07:33:46,Покупка,118.9,RUB
TX00127,261,2024-01-08 20:19:05,Покупка,7378.93,USD
TX00128,18,2024-01-03 03:52:07,Покупка,4485.59,UZS
TX00129,129,2024-06-18 12:15:37,Комиссия,4864.2,USD
TX00130,37,2024-03-13 10:53:17,Пополнение,3832.33,USD
TX00131,253,2024-03-16 09:50:46,Покупка,1022.19,RUB
TX00132,31,2024-02-19 02:50:24,Снятие,675.19,USD
TX00133,165,2024-06-04 14:43:52,Пополнение,930.56,RUB
TX00134,127,2024-01-13 21:13:24,Комиссия,4888.22,RUB
TX00135,193,2024-03-18 18:42:55,Покупка,7490.88,RUB
TX00136,247,2024-02-10 16:12:16,Снятие,1738.15,UZS
TX00137,168,2024-01-31 15:36:20,Пополнение,2424.27,USD
TX00138,137,2024-04-24 20:04:15,Покупка,9345.87,USD
TX00139,104,2024-04-22 10:28:47,Пополнение,8811.12,EUR
TX00140,294,2024-01-13 15:25:09,Покупка,6060.21,EUR
TX00141,212,2024-01-11 15:53:56,Комиссия,3258.4,USD
TX00142,153,2024-04-28 08:24:43,Снятие,3994.13,UZS
TX00143,240,2024-04-14 07:19:55,Перевод,2398.15,USD
TX00144,199,2024-05-04 18:48:49,Покупка,803.37,USD
TX00145,163,2024-06-08 17:00:34,Снятие,6991.97,EUR
TX00146,177,2024-01-02 02:26:52,Покупка,5691.23,USD
TX00147,274,2024-02-01 02:38:52,Перевод,8302.57,EUR
TX00148,37,2024-02-06 02:51:44,Снятие,5939.17,RUB
TX00149,250,2024-02-10 13:50:08,Пополнение,9143.48,RUB
TX00150,296,2024-03-25 03:29:04,Пополнение,190.04,UZS
TX00151,45,2024-06-11 18:11:46,Снятие,4560.36,UZS
TX00152,187,2024-04-07 23:25:26,Покупка,9215.4,USD
TX00153,114,2024-02-19 22:16:59,Снятие,6168.67,RUB
TX00154,138,2024-03-15 12:06:11,Комиссия,6192.43,EUR
TX00155,187,2024-06-20 15:03:07,Пополнение,3510.28,USD
TX00156,274,2024-01-26 15:46:47,Комиссия,9086.45,USD
TX00157,175,2024-04-21 05:37:03,Покупка,3805.85,USD
TX00158,142,2024-03-30 07:16:27,Комиссия,3987.01,RUB
TX00159,259,2024-04-19 18:04:58,Покупка,4556.49,UZS
TX00160,113,2024-04-06 17:28:44,Снятие,1137.53,RUB
TX00161,8,2024-03-27 19:41:31,Снятие,1305.85,UZS
TX00162,229,2024-03-06 14:31:16,Снятие,6161.66,EUR
TX00163,34,2024-05-13 14:36:49,Покупка,7231.8,UZS
TX00164,154,2024-01-27 13:32:15,Снятие,6278.77,USD
TX00165,294,2024-05-17 18:35:57,Покупка,5687.44,UZS
TX00166,170,2024-04-03 14:22:25,Комиссия,9857.21,UZS
TX00167,28,2024-05-06 17:48:07,Пополнение,3120.07,UZS
TX00168,245,2024-03-07 05:21:30,Перевод,222.73,UZS
TX00169,210,2024-04-01 07:31:11,Комиссия,2634.08,USD
TX00170,37,2024-01-13 03:24:14,Перевод,2483.75,EUR
TX00171,164,2024-01-04 08:08:09,Пополнение,7459.77,RUB
TX00172,282,2024-02-16 20:53:58,Покупка,2164.54,EUR
TX00173,190,2024-01-30 18:26:23,Снятие,8342.95,UZS
TX00174,64,2024-06-10 10:51:55,Покупка,9252.88,RUB
TX00175,274,2024-01-20 10:09:45,Перевод,7707.34,EUR
TX00176,80,2024-06-20 15:37:25,Перевод,6788.19,USD
TX00177,39,2024-06-14 03:16:46,Перевод,1652.43,RUB
TX00178,262,2024-06-23 05:28:15,Пополнение,1054.7,USD
TX00179,250,2024-02-13 15:17:17,Снятие,2705.55,EUR
TX00180,254,2024-05-12 01:42:01,Снятие,7160.44,UZS
TX00181,197,2024-05-23 13:52:36,Перевод,6170.14,RUB
TX00182,265,2024-01-01 23:42:02,Комиссия,2923.12,USD
TX00183,215,2024-03-12 08:24:40,Пополнение,7373.35,EUR
TX00184,275,2024-05-24 02:54:59,Перевод,5183.72,UZS
TX00185,141,2024-02-22 22:34:54,Пополнение,6357.88,UZS
TX00186,72,2024-06-11 23:14:26,Покупка,8844.52,UZS
TX00187,53,2024-04-04 10:39:49,Комиссия,9565.02,UZS
TX00188,165,2024-01-18 08:36:55,Пополнение,761.86,USD
TX00189,267,2024-02-20 23:38:05,Снятие,170.35,EUR
TX00190,223,2024-01-24 05:17:19,Покупка,913.4,EUR
TX00191,78,2024-03-23 17:11:47,Комиссия,5962.97,UZS
TX00192,48,2024-02-16 01:10:56,Комиссия,56.76,USD
TX00193,180,2024-05-16 18:19:36,Пополнение,5451.97,RUB
TX00194,135,2024-01-24 13:58:00,Покупка,3782.66,RUB
TX00195,1,2024-04-10 20:54:56,Покупка,5840.52,RUB
TX00196,137,2024-02-20 06:56:43,Снятие,3202.0,RUB
TX00197,9,2024-06-03 22:32:03,Перевод,7417.38,UZS
TX00198,300,2024-06-14 18:14:16,Снятие,8138.92,EUR
TX00199,276,2024-05-17 09:21:27,Перевод,7269.28,RUB
TX00200,287,2024-02-11 17:28:17,Снятие,9956.32,UZS
TX00201,60,2024-01-09 01:34:37,Покупка,3587.87,EUR
TX00202,210,2024-05-10 14:14:44,Перевод,285.94,USD
TX00203,272,2024-01-09 23:27:20,Покупка,5620.01,USD
TX00204,45,2024-06-18 15:57:24,Пополнение,681.92,USD
TX00205,289,2024-02-01 02:06:31,Комиссия,5332.46,RUB
TX00206,218,2024-06-14 13:25:10,Покупка,4593.14,EUR
TX00207,188,2024-02-20 23:26:43,Перевод,5302.66,UZS
TX00208,240,2024-02-23 06:24:59,Пополнение,1190.35,EUR
TX00209,67,2024-05-27 08:03:16,Комиссия,9967.01,RUB
TX00210,64,2024-05-01 16:47:21,Покупка,2007.28,EUR
TX00211,290,2024-01-17 12:35:28,Покупка,6794.24,UZS
TX00212,26,2024-04-30 03:38:21,Комиссия,6003.57,EUR
TX00213,248,2024-04-28 02:32:26,Перевод,7876.34,USD
TX00214,170,2024-04-27 20:13:59,Комиссия,5365.44,EUR
TX00215,222,2024-06-03 17:36:31,Снятие,4619.98,EUR
TX00216,258,2024-05-01 22:22:57,Снятие,6442.28,UZS
TX00217,180,2024-06-23 20:27:15,Покупка,9064.53,EUR
TX00218,36,2024-02-09 12:17:25,Покупка,9708.91,RUB
TX00219,44,2024-01-18 03:04:45,Снятие,9195.08,USD
TX00220,22,2024-05-06 05:19:45,Комиссия,6732.19,UZS
TX00221,213,2024-05-04 06:29:09,Комиссия,2667.53,USD
TX00222,210,2024-04-16 10:39:36,Перевод,5420.77,RUB
TX00223,2,2024-02-16 16:39:16,Снятие,4900.47,USD
TX00224,37,2024-01-15 19:31:53,Комиссия,652.71,RUB
TX00225,6,2024-05-30 08:42:36,Комиссия,272.82,USD
TX00226,110,2024-02-09 21:30:28,Покупка,7255.0,USD
TX00227,178,2024-03-29 17:27:22,Комиссия,9426.93,RUB
TX00228,143,2024-05-04 17:42:15,Пополнение,1041.1,EUR
TX00229,235,2024-04-11 09:18:29,Покупка,8791.5,USD
TX00230,242,2024-04-28 13:48:11,Снятие,9636.61,EUR
TX00231,139,2024-01-25 20:23:31,Перевод,7645.85,UZS
TX00232,31,2024-04-07 10:48:33,Снятие,3001.39,USD
TX00233,237,2024-05-07 15:05:31,Комиссия,1312.61,RUB
TX00234,282,2024-03-13 05:59:16,Пополнение,1687.82,UZS
TX00235,46,2024-03-12 13:43:59,Перевод,1945.93,UZS
TX00236,34,2024-02-14 04:14:58,Покупка,5306.41,USD
TX00237,255,2024-01-14 10:33:37,Снятие,5091.73,RUB
TX00238,230,2024-06-14 19:35:52,Пополнение,7504.28,RUB
TX00239,115,2024-05-07 23:25:29,Покупка,3413.79,USD
TX00240,116,2024-03-19 08:20:11,Снятие,4357.17,EUR
TX00241,172,2024-06-15 23:05:04,Снятие,7871.62,UZS
TX00242,54,2024-02-22 03:47:27,Пополнение,2526.19,UZS
TX00243,299,2024-02-05 04:51:10,Перевод,7639.68,UZS
TX00244,166,2024-01-03 13:36:41,Комиссия,9516.05,UZS
TX00245,188,2024-04-06 16:43:07,Комиссия,3395.0,USD
TX00246,116,2024-02-18 17:28:01,Перевод,8605.75,USD
TX00247,2,2024-03-02 18:46:10,Снятие,5917.44,USD
TX00248,293,2024-02-19 23:04:33,Пополнение,5161.59,UZS
TX00249,60,2024-04-19 16:13:59,Снятие,1524.37,RUB
TX00250,264,2024-01-07 16:26:58,Комиссия,3021.47,USD
TX00251,261,2024-01-31 12:57:17,Покупка,5275.76,USD
TX00252,107,2024-03-10 17:10:09,Пополнение,5759.55,UZS
TX00253,278,2024-06-24 08:31:25,Покупка,3052.44,RUB
TX00254,76,2024-06-13 22:04:36,Снятие,1106.44,RUB
TX00255,128,2024-03-10 03:20:07,Пополнение,8476.34,RUB
TX00256,110,2024-03-10 19:01:18,Покупка,5332.81,RUB
TX00257,197,2024-04-28 23:59:42,Перевод,9689.96,EUR
TX00258,47,2024-01-19 05:40:44,Пополнение,6575.69,RUB
TX00259,202,2024-03-29 10:56:37,Комиссия,818.25,EUR
TX00260,6,2024-03-13 05:06:35,Комиссия,6453.66,UZS
TX00261,119,2024-06-09 05:31:26,Покупка,7171.59,RUB
TX00262,136,2024-01-09 08:52:45,Комиссия,4915.65,UZS
TX00263,208,2024-04-07 06:12:42,Снятие,8747.07,EUR
TX00264,290,2024-03-12 01:59:32,Перевод,7130.21,EUR
TX00265,252,2024-06-11 06:11:53,Перевод,7477.94,UZS
TX00266,13,2024-02-10 02:46:02,Комиссия,473.19,EUR
TX00267,106,2024-03-23 23:03:32,Снятие,5368.27,EUR
TX00268,222,2024-04-15 17:15:48,Перевод,5819.18,USD
TX00269,111,2024-06-14 03:41:26,Пополнение,6768.04,USD
TX00270,203,2024-05-06 14:12:30,Комиссия,625.15,UZS
TX00271,288,2024-03-02 11:01:15,Комиссия,6823.78,RUB
TX00272,101,2024-04-10 05:14:19,Комиссия,8348.29,USD
TX00273,182,2024-05-28 13:32:26,Снятие,7945.07,EUR
TX00274,253,2024-02-17 05:29:54,Покупка,1920.95,USD
TX00275,79,2024-01-15 13:29:18,Пополнение,6101.9,UZS
TX00276,277,2024-03-07 05:43:41,Пополнение,4462.48,USD
TX00277,101,2024-03-01 18:05:50,Покупка,6152.97,UZS
TX00278,236,2024-01-22 10:21:23,Снятие,4682.9,UZS
TX00279,253,2024-02-13 01:42:56,Перевод,3839.04,EUR
TX00280,46,2024-04-17 08:41:28,Комиссия,8245.8,UZS
TX00281,212,2024-02-11 14:35:18,Снятие,1556.31,UZS
TX00282,163,2024-05-09 13:48:11,Пополнение,9791.83,USD
TX00283,110,2024-02-23 04:46:17,Пополнение,6946.21,UZS
TX00284,203,2024-05-14 18:13:56,Перевод,8214.92,RUB
TX00285,21,2024-06-23 00:54:59,Покупка,356.98,RUB
TX00286,111,2024-03-07 16:39:26,Снятие,4648.47,UZS
TX00287,280,2024-04-18 18:11:47,Снятие,9284.86,EUR
TX00288,23,2024-06-11 11:50:01,Снятие,6310.56,EUR
TX00289,289,2024-05-24 17:04:31,Покупка,82.8,RUB
TX00290,197,2024-01-29 23:09:48,Покупка,4465.59,EUR
TX00291,12,2024-02-18 00:14:40,Снятие,8938.18,UZS
TX00292,245,2024-06-05 04:39:11,Перевод,2744.08,RUB
TX00293,231,2024-02-08 18:34:47,Перевод,7275.35,USD
TX00294,42,2024-03-05 17:29:34,Покупка,1682.54,UZS
TX00295,207,2024-05-04 15:11:18,Покупка,6129.77,USD
TX00296,54,2024-05-25 06:44:38,Перевод,7933.51,EUR
TX00297,66,2024-04-14 08:49:55,Снятие,3266.82,EUR
TX00298,75,2024-02-01 05:52:04,Комиссия,2890.8,RUB
TX00299,152,2024-02-15 23:12:48,Перевод,8316.7,EUR
TX00300,248,2024-04-02 10:28:29,Снятие,4055.12,USD
TX00301,188,2024-04-14 13:55:23,Пополнение,4192.26,UZS
TX00302,186,2024-02-08 13:45:28,Комиссия,9628.08,UZS
TX00303,89,2024-01-20 20:55:32,Снятие,6418.33,EUR
TX00304,197,2024-04-28 11:36:29,Покупка,9938.08,USD
TX00305,6,2024-03-03 16:08:46,Пополнение,3709.86,UZS
TX00306,68,2024-02-21 19:02:19,Снятие,1562.21,USD
TX00307,83,2024-04-29 11:27:00,Снятие,7938.74,UZS
TX00308,56,2024-06-16 00:00:23,Снятие,8766.39,EUR
TX00309,219,2024-02-29 06:35:50,Покупка,2981.75,USD
TX00310,68,2024-01-05 00:23:13,Покупка,2845.09,EUR
TX00311,11,2024-04-21 07:05:20,Комиссия,9767.32,UZS
TX00312,142,2024-05-23 02:09:46,Снятие,9589.79,RUB
TX00313,33,2024-05-02 15:12:28,Комиссия,9977.64,RUB
TX00314,192,2024-04-05 14:27:40,Перевод,813.42,UZS
TX00315,194,2024-06-02 22:18:24,Комиссия,3791.09,EUR
TX00316,11,2024-02-21 11:30:28,Пополнение,4929.91,EUR
TX00317,291,2024-04-11 21:12:04,Пополнение,4748.14,USD
TX00318,260,2024-01-03 04:10:23,Комиссия,5666.79,RUB
TX00319,249,2024-05-08 05:15:07,Снятие,513.26,RUB
TX00320,169,2024-04-03 07:51:43,Снятие,8990.27,EUR
TX00321,202,2024-03-16 21:13:48,Покупка,1027.38,USD
TX00322,91,2024-03-09 21:30:04,Пополнение,3472.93,EUR
TX00323,14,2024-03-06 10:06:25,Снятие,3352.0,UZS
TX00324,204,2024-06-15 20:31:46,Перевод,4471.46,EUR
TX00325,23,2024-05-29 01:50:30,Покупка,9583.25,USD
TX00326,86,2024-02-04 16:56:47,Снятие,9954.43,EUR
TX00327,123,2024-02-16 04:43:48,Пополнение,8043.56,RUB
TX00328,284,2024-05-18 19:58:30,Перевод,8622.04,UZS
TX00329,24,2024-02-28 02:20:31,Комиссия,7030.78,UZS
TX00330,121,2024-04-09 10:28:26,Комиссия,5798.23,EUR
TX00331,110,2024-03-05 15:42:30,Пополнение,3438.17,EUR
TX00332,52,2024-01-09 17:42:05,Покупка,238.91,USD
TX00333,176,2024-05-09 11:26:38,Снятие,7815.15,RUB
TX00334,133,2024-05-12 09:53:42,Снятие,8089.96,RUB
TX00335,250,2024-01-30 05:15:17,Комиссия,4976.06,UZS
TX00336,108,2024-06-13 13:26:20,Снятие,497.96,EUR
TX00337,24,2024-01-09 22:57:32,Пополнение,4984.48,EUR
TX00338,114,2024-04-04 04:18:59,Пополнение,1867.49,EUR
TX00339,221,2024-03-31 15:17:22,Снятие,3120.52,EUR
TX00340,105,2024-02-01 10:52:57,Комиссия,1578.37,EUR
TX00341,133,2024-01-05 08:05:58,Пополнение,8495.61,EUR
TX00342,7,2024-06-10 03:43:12,Покупка,2488.91,EUR
TX00343,264,2024-06-12 03:00:45,Покупка,2764.62,UZS
TX00344,159,2024-01-18 20:19:49,Пополнение,3978.43,RUB
TX00345,11,2024-02-20 10:28:38,Комиссия,4330.5,EUR
TX00346,75,2024-03-05 17:18:10,Комиссия,2737.86,USD
TX00347,44,2024-05-28 00:55:39,Снятие,1363.83,USD
TX00348,223,2024-02-22 17:26:41,Пополнение,7135.05,USD
TX00349,231,2024-02-15 22:40:36,Комиссия,3715.95,EUR
TX00350,165,2024-01-15 16:14:30,Перевод,1556.75,UZS
TX00351,223,2024-03-20 15:36:48,Снятие,4849.71,EUR
TX00352,95,2024-06-21 11:13:22,Покупка,1948.88,USD
TX00353,250,2024-06-24 00:43:12,Перевод,7410.16,RUB
TX00354,223,2024-05-13 12:25:34,Комиссия,3555.34,EUR
TX00355,241,2024-04-08 18:46:05,Покупка,4631.34,EUR
TX00356,72,2024-01-18 08:30:30,Пополнение,910.48,UZS
TX00357,239,2024-02-28 18:59:15,Перевод,9235.36,EUR
TX00358,245,2024-04-23 11:17:05,Перевод,1723.03,EUR
TX00359,269,2024-03-24 06:26:34,Комиссия,6875.49,USD
TX00360,54,2024-02-19 16:53:23,Снятие,2524.63,UZS
TX00361,5,2024-03-23 07:59:35,Перевод,993.13,UZS
TX00362,293,2024-01-23 10:33:45,Перевод,7715.4,RUB
TX00363,264,2024-03-03 11:59:36,Снятие,7064.9,USD
TX00364,81,2024-02-14 23:25:29,Перевод,6917.67,USD
TX00365,6,2024-03-04 18:26:08,Покупка,6651.96,EUR
TX00366,59,2024-02-04 21:11:36,Покупка,1564.0,RUB
TX00367,77,2024-04-19 17:42:45,Снятие,6802.41,EUR
TX00368,101,2024-06-17 00:15:42,Снятие,5042.53,EUR
TX00369,237,2024-02-15 20:21:08,Пополнение,7030.3,EUR
TX00370,194,2024-01-30 16:31:04,Перевод,7450.26,EUR
TX00371,196,2024-02-03 18:45:39,Комиссия,5330.59,UZS
TX00372,109,2024-01-26 02:27:55,Снятие,4419.66,RUB
TX00373,295,2024-02-19 12:01:41,Перевод,1513.93,EUR
TX00374,255,2024-05-08 23:37:58,Снятие,3804.15,EUR
TX00375,209,2024-03-05 22:00:04,Пополнение,9969.98,RUB
TX00376,227,2024-02-25 03:09:31,Пополнение,8711.65,USD
TX00377,293,2024-01-17 16:45:19,Перевод,9518.55,RUB
TX00378,162,2024-02-21 23:01:44,Снятие,7760.89,USD
TX00379,116,2024-01-13 14:35:12,Комиссия,332.91,EUR
TX00380,292,2024-04-19 13:56:46,Снятие,801.67,RUB
TX00381,279,2024-02-10 23:44:18,Снятие,2649.5,USD
TX00382,226,2024-05-09 01:07:20,Комиссия,8603.71,RUB
TX00383,73,2024-01-18 03:55:11,Перевод,6689.41,UZS
TX00384,277,2024-03-09 12:30:04,Покупка,484.3,RUB
TX00385,79,2024-01-12 01:07:22,Комиссия,1350.06,USD
TX00386,269,2024-02-05 21:29:21,Пополнение,419.88,EUR
TX00387,24,2024-02-07 04:20:23,Комиссия,9727.48,RUB
TX00388,115,2024-05-30 02:20:47,Покупка,1930.89,USD
TX00389,122,2024-03-19 03:20:21,Перевод,2680.57,UZS
TX00390,95,2024-01-15 22:31:34,Комиссия,9565.76,EUR
TX00391,16,2024-04-12 23:41:02,Покупка,2628.82,UZS
TX00392,245,2024-06-02 18:50:47,Комиссия,9781.34,UZS
TX00393,51,2024-03-11 09:34:41,Пополнение,3694.43,EUR
TX00394,37,2024-02-25 16:17:36,Пополнение,8660.75,UZS
TX00395,191,2024-06-05 12:12:09,Снятие,4111.07,UZS
TX00396,276,2024-06-22 08:43:16,Покупка,7189.27,EUR
TX00397,251,2024-06-09 18:34:32,Перевод,5226.42,RUB
TX00398,189,2024-05-16 00:53:36,Комиссия,6545.72,USD
TX00399,53,2024-01-01 08:13:46,Перевод,8673.72,RUB
TX00400,121,2024-01-11 22:25:50,Снятие,9748.67,UZS
TX00401,114,2024-05-19 13:19:58,Покупка,6982.04,EUR
TX00402,150,2024-02-28 20:31:43,Покупка,4286.76,RUB
TX00403,258,2024-05-19 01:12:28,Пополнение,4022.42,USD
TX00404,6,2024-03-28 22:52:23,Пополнение,9818.82,RUB
TX00405,35,2024-01-02 23:12:08,Пополнение,9363.35,EUR
TX00406,255,2024-04-01 12:12:38,Пополнение,4821.33,RUB
TX00407,170,2024-05-18 07:17:10,Комиссия,1709.17,EUR
TX00408,295,2024-02-23 21:03:30,Пополнение,975.77,UZS
TX00409,124,2024-03-29 06:46:32,Пополнение,5839.11,RUB
