Дата,Компания,Продукт,Цена (сум),Количество,Возврат
2024-07-12,Pure Milky,"Каймак 350 гр, 45%",26490,1,0
2024-07-12,Best,"Каймак 400 гр, 50%",12990,1,0
2024-07-12,Kamilka,"Кефир 450 гр, 3.2%",8590,1,0
2024-07-12,Pure Milky,"Каймак 180 гр, 45%",13990,1,0
2024-07-12,Kamilka,"Каймак 200 гр, 45%",15390,1,0
2024-07-12,Dobroe,"Катык 1750 гр, 3.5%",19990,1,0
2024-07-12,Mezon,"Сметана 200 гр, 20%",5490,1,0
2024-07-12,Pure Milky,"Сметана 350 гр, 20%",17490,1,0
2024-07-12,Best,"Каймак 400 гр, 50%",12990,1,1
2024-07-12,Best,"Кефир 500 мл, 2.5%",8990,1,0
2024-07-12,Mezon,"Каймак 400 гр, 45%",12590,1,0
2024-07-12,Mezon,"Каймак 400 гр, 45%",12590,1,0
2024-07-12,Best,"Сметана 400 гр, 20%",12590,1,0
2024-07-12,Pure Milky,"Кефир 920 мл, 1%",13590,1,0
2024-07-12,Kamilka,"Творожная паста 200 гр, 5%",12990,1,0
2024-07-12,Pure Milky,"Кефир 920 мл, 1%",13590,1,0
2024-07-12,Kamilka,"Катык 900 гр, 3%",15390,1,0
2024-07-12,Mezon,"Кефир 0.5 л, 2.5%",5990,1,0
2024-07-12,Pure Milky,"Каймак 350 гр, 45%",26490,1,0
2024-07-12,Dobroe,"Кефир 1 л, 1%",14590,1,0
2024-07-12,Best,"Сметана 400 гр, 20%",12590,1,0
2024-07-12,Mezon,"Сметана 400 гр, 20%",9790,1,0
2024-07-12,Dobroe,"Сметана 400 гр, 15%",19990,1,0
2024-07-12,Best,"Каймак 400 гр, 50%",12990,1,0
2024-07-12,Best,"Каймак 200 гр, 50%",8990,1,0
2024-07-12,Kamilka,"Каймак 400 гр, 45%",28290,1,0
2024-07-12,Kamilka,"Сметана 400 гр, 20%",20590,1,0
2024-07-12,Mezon,"Каймак 400 гр, 45%",12590,1,0
2024-07-12,Rash Milk,"Сметана 400 гр, 10%",7490,1,0
2024-07-12,Best,"Сметана 200 гр, 20%",8390,1,0
2024-07-12,Best,"Сметана 200 гр, 20%",8390,1,0
2024-07-12,Dobroe,"Катык 1750 гр, 3.5%",19990,1,0
2024-07-12,Best,"Каймак 400 гр, 50%",12990,1,0
2024-07-12,Pure Milky,"Сметана 180 гр, 20%",11490,1,0
2024-07-12,Mezon,"Сметана 400 гр, 20%",9790,1,0
2024-07-12,Pure Milky,"Кефир 920 мл, 2.5%",15390,1,0
2024-07-12,Best,"Кефир 1 л, 2.5%",10900,1,0
2024-07-12,Pure Milky,"Сметана 180 гр, 20%",11490,1,0
2024-07-12,Mezon,"Каймак 200 гр, 45%",6890,1,0
2024-07-12,Kamilka,"Каймак 200 гр, 45%",15390,1,0
2024-07-13,Pure Milky,"Каймак 180 гр, 45%",13990,1,0
2024-07-13,Kamilka,"Сметана 200 гр, 20%",11990,1,0
2024-07-13,Mezon,"Кефир 0.5 л, 2.5%",5990,1,0
2024-07-13,Pure Milky,"Кефир 920 мл, 3.2%",15590,1,0
2024-07-13,Kamilka,"Сметана 200 гр, 20%",11990,1,0
2024-07-13,Kamilka,"Сметана 400 гр, 20%",20590,1,0
2024-07-13,Mezon,"Сметана 200 гр, 20%",5490,1,0
2024-07-13,Pure Milky,"Кефир 920 мл, 2.5%",15390,1,0
2024-07-13,Kamilka,"Катык 900 гр, 3%",15390,1,0
2024-07-13,Dobroe,"Каймак 400 гр, 35%",27990,1,0
2024-07-13,Dobroe,"Каймак 400 гр, 35%",27990,1,0
2024-07-13,Rash Milk,"Сметана 400 гр, 10%",7490,1,0
2024-07-13,Pure Milky,"Кефир 920 мл, 2.5%",15390,1,0
2024-07-13,Pure Milky,"Каймак 180 гр, 45%",13990,1,0
2024-07-13,Mezon,"Сметана 400 гр, 20%",9790,1,0
2024-07-13,Pure Milky,"Каймак 350 гр, 45%",26490,1,0
2024-07-13,Pure Milky,"Сметана 180 гр, 20%",11490,1,0
2024-07-13,Mezon,"Сметана 200 гр, 20%",5490,1,0
2024-07-13,Kamilka,"Каймак 400 гр, 45%",28290,1,0
2024-07-13,Rash Milk,"Сметана 400 гр, 20%",14990,1,0
2024-07-13,Mezon,"Кефир 0.5 л, 2.5%",5990,1,0
2024-07-13,Kamilka,"Сметана 400 гр, 20%",20590,1,0
2024-07-13,Kamilka,"Кефир 450 гр, 3.2%",8590,1,0
2024-07-13,Pure Milky,"Каймак 350 гр, 45%",26490,1,0
2024-07-13,Kamilka,"Сметана 200 гр, 20%",11990,1,0
2024-07-13,Dobroe,"Катык 1750 гр, 3.5%",19990,1,0
2024-07-13,Best,Творожная паста 200 гр,6990,1,0
2024-07-13,Pure Milky,"Сметана 180 гр, 20%",11490,1,0
2024-07-13,Pure Milky,"Кефир 920 мл, 3.2%",15590,1,0
2024-07-13,Pure Milky,"Каймак 350 гр, 45%",26490,1,0
2024-07-13,Dobroe,"Каймак 400 гр, 35%",27990,1,0
2024-07-13,Mezon,"Сметана 400 гр, 20%",9790,1,0
2024-07-13,Best,"Кефир 500 мл, 2.5%",8990,1,0
2024-07-13,Mezon,"Кефир 0.5 л, 2.5%",5990,1,0
2024-07-13,Dobroe,"Сметана 400 гр, 15%",19990,1,0
2024-07-13,Best,"Каймак 400 гр, 50%",12990,1,0
2024-07-13,Mezon,"Каймак 400 гр, 45%",12590,1,0
2024-07-13,Kamilka,"Сметана 400 гр, 20%",20590,1,0
2024-07-13,Mezon,"Кефир 1 л, 2.5%",10490,1,0
2024-07-13,Kamilka,"Каймак 400 гр, 45%",28290,1,0
2024-07-13,Best,"Сметана 400 гр, 20%",12590,1,0
2024-07-13,Best,"Кефир 1 л, 2.5%",10900,1,0
2024-07-13,Pure Milky,"Сметана 180 гр, 20%",11490,1,0
2024-07-13,Mezon,"Кефир 0.5 л, 2.5%",5990,1,0
2024-07-13,Dobroe,"Сметана 400 гр, 15%",19990,1,0
2024-07-13,Rash Milk,"Сметана 400 гр, 15%",13790,1,0
2024-07-13,Pure Milky,"Кефир 920 мл, 2.5%",15390,1,0
2024-07-13,Best,"Кефир 1 л, 2.5%",10900,1,0
2024-07-13,Rash Milk,"Сметана 400 гр, 15%",13790,1,0
2024-07-13,Kamilka,"Каймак 400 гр, 45%",28290,1,0
2024-07-13,Mezon,"Сметана 200 гр, 20%",5490,1,0
2024-07-13,Dobroe,"Катык 1750 гр, 3.5%",19990,1,0
2024-07-13,Mezon,"Каймак 400 гр, 45%",12590,1,0
2024-07-13,Kamilka,"Катык 900 гр, 3%",15390,1,0
2024-07-13,Best,"Сметана 400 гр, 20%",12590,1,0
2024-07-13,Pure Milky,"Каймак 180 гр, 45%",13990,1,0
2024-07-13,Mezon,"Сметана 400 гр, 20%",9790,1,0
2024-07-13,Dobroe,"Кефир 1 л, 1%",14590,1,0
2024-07-13,Best,"Сметана 400 гр, 20%",12590,1,0
2024-07-13,Mezon,"Каймак 400 гр, 45%",12590,1,0
2024-07-13,Rash Milk,"Сметана 400 гр, 15%",13790,1,0
2024-07-13,Kamilka,"Каймак 200 гр, 45%",15390,1,0
2024-07-13,Pure Milky,"Каймак 350 гр, 45%",26490,1,0
2024-07-13,Kamilka,"Кефир 450 гр, 3.2%",8590,1,0
2024-07-13,Rash Milk,"Сметана 400 гр, 15%",13790,1,0
2024-07-13,Kamilka,"Каймак 200 гр, 45%",15390,1,0
2024-07-13,Dobroe,"Каймак 400 гр, 35%",27990,1,0
2024-07-13,Dobroe,"Катык 1750 гр, 3.5%",19990,1,0
2024-07-13,Rash Milk,"Сметана 400 гр, 15%",13790,1,0
2024-07-13,Kamilka,"Каймак 200 гр, 45%",15390,1,0
2024-07-13,Best,"Сметана 400 гр, 20%",12590,1,0
2024-07-13,Pure Milky,"Кефир 920 мл, 3.2%",15590,1,0
2024-07-13,Kamilka,"Каймак 200 гр, 45%",15390,1,0
2024-07-13,Pure Milky,"Каймак 180 гр, 45%",13990,1,0
2024-07-13,Best,"Кефир 500 мл, 2.5%",8990,1,0
2024-07-13,Dobroe,"Катык 1750 гр, 3.5%",19990,1,0
2024-07-13,Best,"Каймак 400 гр, 50%",12990,1,0
2024-07-13,Dobroe,"Каймак 400 гр, 35%",27990,1,0
2024-07-13,Mezon,"Кефир 0.5 л, 2.5%",5990,1,0
2024-07-13,Mezon,"Каймак 400 гр, 45%",12590,1,0
2024-07-13,Best,Творожная паста 200 гр,6990,1,0
2024-07-13,Mezon,"Каймак 200 гр, 45%",6890,1,0
2024-07-13,Kamilka,"Кефир 450 гр, 3.2%",8590,1,0
2024-07-13,Mezon,"Каймак 200 гр, 45%",6890,1,0
2024-07-13,Dobroe,"Каймак 400 гр, 35%",27990,1,0
2024-07-13,Best,"Каймак 200 гр, 50%",8990,1,0
2024-07-13,Kamilka,"Творожная паста 200 гр, 5%",12990,1,0
2024-07-13,Pure Milky,"Кефир 920 мл, 3.2%",15590,1,0
2024-07-13,Best,"Сметана 200 гр, 20%",8390,1,0
2024-07-13,Mezon,"Кефир 0.5 л, 2.5%",5990,1,0
2024-07-13,Mezon,"Каймак 400 гр, 45%",12590,1,0
2024-07-13,Best,"Сметана 400 гр, 20%",12590,1,0
2024-07-13,Kamilka,"Творожная паста 200 гр, 5%",12990,1,0
2024-07-13,Rash Milk,"Сметана 400 гр, 15%",13790,1,0
2024-07-13,Pure Milky,"Сметана 350 гр, 20%",17490,1,0
2024-07-13,Mezon,"Каймак 200 гр, 45%",6890,1,0
2024-07-13,Dobroe,"Каймак 400 гр, 35%",27990,1,0
2024-07-13,Kamilka,"Каймак 400 гр, 45%",28290,1,0
2024-07-13,Best,Творожная паста 200 гр,6990,1,0
2024-07-13,Best,"Кефир 500 мл, 2.5%",8990,1,0
2024-07-13,Mezon,"Кефир 1 л, 2.5%",10490,1,0
2024-07-13,Pure Milky,"Кефир 920 мл, 3.2%",15590,1,0
2024-07-13,Kamilka,"Творожная паста 200 гр, 5%",12990,1,0
2024-07-13,Kamilka,"Сметана 400 гр, 20%",20590,1,0
2024-07-13,Rash Milk,"Сметана 400 гр, 20%",14990,1,0
2024-07-13,Best,"Каймак 200 гр, 50%",8990,1,0
2024-07-13,Kamilka,"Каймак 400 гр, 45%",28290,1,0
2024-07-13,Pure Milky,"Сметана 180 гр, 20%",11490,1,0
2024-07-13,Best,"Сметана 400 гр, 20%",12590,1,0
2024-07-13,Best,"Кефир 1 л, 2.5%",10900,1,0
2024-07-13,Kamilka,"Каймак 400 гр, 45%",28290,1,0
2024-07-13,Rash Milk,"Сметана 400 гр, 10%",7490,1,0
2024-07-13,Best,"Кефир 500 мл, 2.5%",8990,1,0
2024-07-13,Mezon,"Кефир 0.5 л, 2.5%",5990,1,0
2024-07-13,Pure Milky,"Каймак 180 гр, 45%",13990,1,0
2024-07-13,Dobroe,"Катык 1750 гр, 3.5%",19990,1,0
2024-07-13,Rash Milk,"Сметана 400 гр, 15%",13790,1,0
2024-07-13,Pure Milky,"Кефир 920 мл, 1%",13590,1,0
2024-07-13,Kamilka,"Каймак 400 гр, 45%",28290,1,0
2024-07-13,Best,"Каймак 200 гр, 50%",8990,1,0
2024-07-14,Kamilka,"Сметана 200 гр, 20%",11990,1,0
2024-07-14,Kamilka,"Творожная паста 200 гр, 5%",12990,1,0
2024-07-14,Dobroe,"Сметана 400 гр, 15%",19990,1,0
2024-07-14,Best,"Кефир 1 л, 2.5%",10900,1,0
2024-07-14,Pure Milky,"Каймак 350 гр, 45%",26490,1,0
2024-07-14,Best,"Сметана 200 гр, 20%",8390,1,0
2024-07-14,Best,Творожная паста 200 гр,6990,1,0
2024-07-14,Dobroe,"Сметана 400 гр, 15%",19990,1,0
2024-07-14,Pure Milky,"Сметана 350 гр, 20%",17490,1,0
2024-07-14,Kamilka,"Сметана 400 гр, 20%",20590,1,0
2024-07-14,Pure Milky,"Сметана 350 гр, 20%",17490,1,0
2024-07-14,Kamilka,"Творожная паста 200 гр, 5%",12990,1,0
2024-07-14,Pure Milky,"Кефир 920 мл, 3.2%",15590,1,0
2024-07-14,Best,Творожная паста 200 гр,6990,1,0
2024-07-14,Best,"Сметана 200 гр, 20%",8390,1,0
2024-07-14,Best,"Кефир 1 л, 2.5%",10900,1,0
2024-07-14,Dobroe,"Каймак 400 гр, 35%",27990,1,0
2024-07-14,Dobroe,"Катык 1750 гр, 3.5%",19990,1,0
2024-07-14,Pure Milky,"Каймак 350 гр, 45%",26490,1,0
2024-07-14,Dobroe,"Сметана 400 гр, 15%",19990,1,0
2024-07-14,Pure Milky,"Кефир 920 мл, 1%",13590,1,0
2024-07-14,Pure Milky,"Кефир 920 мл, 3.2%",15590,1,0
2024-07-14,Rash Milk,"Сметана 400 гр, 20%",14990,1,0
2024-07-14,Kamilka,"Кефир 450 гр, 3.2%",8590,1,0
2024-07-14,Best,"Кефир 500 мл, 2.5%",8990,1,0
2024-07-14,Mezon,"Каймак 200 гр, 45%",6890,1,0
2024-07-14,Mezon,"Кефир 0.5 л, 2.5%",5990,1,0
2024-07-14,Kamilka,"Каймак 400 гр, 45%",28290,1,0
2024-07-14,Kamilka,"Катык 900 гр, 3%",15390,1,0
2024-07-14,Kamilka,"Каймак 400 гр, 45%",28290,1,0
2024-07-14,Best,"Кефир 500 мл, 2.5%",8990,1,0
2024-07-14,Kamilka,"Сметана 400 гр, 20%",20590,1,0
2024-07-14,Dobroe,"Кефир 1 л, 1%",14590,1,0
2024-07-14,Kamilka,"Кефир 450 гр, 3.2%",8590,1,0
2024-07-14,Best,"Кефир 1 л, 2.5%",10900,1,0
2024-07-14,Kamilka,"Катык 900 гр, 3%",15390,1,0
2024-07-14,Best,"Каймак 400 гр, 50%",12990,1,0
2024-07-14,Rash Milk,"Сметана 400 гр, 15%",13790,1,0
2024-07-14,Dobroe,"Кефир 1 л, 1%",14590,1,0
2024-07-14,Mezon,"Кефир 1 л, 2.5%",10490,1,0
2024-07-14,Rash Milk,"Сметана 400 гр, 20%",14990,1,0
2024-07-14,Dobroe,"Кефир 1 л, 1%",14590,1,0
2024-07-14,Rash Milk,"Сметана 400 гр, 15%",13790,1,0
2024-07-14,Rash Milk,"Сметана 400 гр, 15%",13790,1,0
2024-07-14,Mezon,"Кефир 0.5 л, 2.5%",5990,1,0
2024-07-14,Best,"Кефир 1 л, 2.5%",10900,1,0
2024-07-14,Pure Milky,"Кефир 920 мл, 2.5%",15390,1,0
2024-07-14,Mezon,"Кефир 0.5 л, 2.5%",5990,1,0
2024-07-14,Pure Milky,"Сметана 350 гр, 20%",17490,1,0
2024-07-14,Mezon,"Сметана 400 гр, 20%",9790,1,0
2024-07-14,Dobroe,"Кефир 1 л, 1%",14590,1,0
2024-07-14,Kamilka,"Катык 900 гр, 3%",15390,1,0
2024-07-14,Mezon,"Кефир 0.5 л, 2.5%",5990,1,0
2024-07-14,Kamilka,"Каймак 200 гр, 45%",15390,1,0
2024-07-14,Pure Milky,"Кефир 920 мл, 1%",13590,1,0
2024-07-14,Dobroe,"Кефир 1 л, 1%",14590,1,0
2024-07-14,Best,"Сметана 200 гр, 20%",8390,1,0
2024-07-14,Best,"Каймак 200 гр, 50%",8990,1,0
2024-07-14,Mezon,"Каймак 400 гр, 45%",12590,1,0
2024-07-14,Kamilka,"Сметана 200 гр, 20%",11990,1,0
2024-07-14,Pure Milky,"Каймак 180 гр, 45%",13990,1,0
2024-07-14,Dobroe,"Каймак 400 гр, 35%",27990,1,0
2024-07-14,Pure Milky,"Каймак 180 гр, 45%",13990,1,0
2024-07-14,Dobroe,"Сметана 400 гр, 15%",19990,1,0
2024-07-14,Kamilka,"Каймак 200 гр, 45%",15390,1,0
2024-07-14,Dobroe,"Кефир 1 л, 1%",14590,1,0
2024-07-14,Mezon,"Каймак 200 гр, 45%",6890,1,0
2024-07-14,Pure Milky,"Кефир 920 мл, 1%",13590,1,0
2024-07-14,Best,"Кефир 1 л, 2.5%",10900,1,0
2024-07-14,Mezon,"Кефир 0.5 л, 2.5%",5990,1,0
2024-07-14,Best,"Сметана 400 гр, 20%",12590,1,0
2024-07-14,Kamilka,"Сметана 200 гр, 20%",11990,1,0
2024-07-14,Best,"Сметана 400 гр, 20%",12590,1,0
2024-07-14,Best,Творожная паста 200 гр,6990,1,0
2024-07-14,Best,Творожная паста 200 гр,6990,1,0
2024-07-14,Pure Milky,"Каймак 180 гр, 45%",13990,1,0
2024-07-14,Rash Milk,"Сметана 400 гр, 15%",13790,1,0
2024-07-14,Pure Milky,"Каймак 350 гр, 45%",26490,1,0
2024-07-14,Pure Milky,"Кефир 920 мл, 3.2%",15590,1,0
2024-07-14,Rash Milk,"Сметана 400 гр, 20%",14990,1,0
2024-07-14,Pure Milky,"Кефир 920 мл, 3.2%",15590,1,0
2024-07-14,Rash Milk,"Сметана 400 гр, 10%",7490,1,0
2024-07-14,Kamilka,"Кефир 450 гр, 3.2%",8590,1,0
2024-07-14,Pure Milky,"Сметана 350 гр, 20%",17490,1,0
2024-07-14,Kamilka,"Кефир 450 гр, 3.2%",8590,1,0
2024-07-14,Kamilka,"Каймак 200 гр, 45%",15390,1,0
2024-07-14,Dobroe,"Сметана 400 гр, 15%",19990,1,0
2024-07-14,Kamilka,"Катык 900 гр, 3%",15390,1,0
2024-07-14,Mezon,"Каймак 400 гр, 45%",12590,1,0
2024-07-14,Mezon,"Каймак 400 гр, 45%",12590,1,0
2024-07-14,Pure Milky,"Сметана 180 гр, 20%",11490,1,0
2024-07-14,Pure Milky,"Кефир 920 мл, 3.2%",15590,1,0
2024-07-14,Pure Milky,"Кефир 920 мл, 1%",13590,1,0
2024-07-14,Dobroe,"Каймак 400 гр, 35%",27990,1,0
2024-07-14,Best,"Каймак 200 гр, 50%",8990,1,0
2024-07-14,Kamilka,"Катык 900 гр, 3%",15390,1,0
2024-07-14,Best,"Кефир 1 л, 2.5%",10900,1,0
2024-07-14,Pure Milky,"Кефир 920 мл, 1%",13590,1,0
2024-07-14,Kamilka,"Сметана 200 гр, 20%",11990,1,0
2024-07-14,Mezon,"Кефир 0.5 л, 2.5%",5990,1,0
2024-07-14,Dobroe,"Каймак 400 гр, 35%",27990,1,0
2024-07-14,Kamilka,"Сметана 400 гр, 20%",20590,1,0
2024-07-14,Kamilka,"Катык 900 гр, 3%",15390,1,0
2024-07-14,Best,"Каймак 400 гр, 50%",12990,1,0
2024-07-14,Pure Milky,"Каймак 180 гр, 45%",13990,1,0
2024-07-14,Pure Milky,"Кефир 920 мл, 3.2%",15590,1,0
2024-07-14,Kamilka,"Каймак 400 гр, 45%",28290,1,0
2024-07-14,Pure Milky,"Сметана 350 гр, 20%",17490,1,0
2024-07-14,Kamilka,"Каймак 400 гр, 45%",28290,1,0
2024-07-14,Pure Milky,"Сметана 350 гр, 20%",17490,1,0
2024-07-14,Kamilka,"Каймак 200 гр, 45%",15390,1,0
2024-07-14,Mezon,"Кефир 0.5 л, 2.5%",5990,1,0
2024-07-14,Kamilka,"Сметана 400 гр, 20%",20590,1,0
2024-07-14,Pure Milky,"Кефир 920 мл, 1%",13590,1,0
2024-07-14,Best,"Кефир 500 мл, 2.5%",8990,1,0
2024-07-14,Pure Milky,"Каймак 350 гр, 45%",26490,1,0
2024-07-14,Pure Milky,"Сметана 180 гр, 20%",11490,1,0
2024-07-14,Mezon,"Каймак 200 гр, 45%",6890,1,0
2024-07-14,Mezon,"Кефир 0.5 л, 2.5%",5990,1,0
2024-07-14,Kamilka,"Творожная паста 200 гр, 5%",12990,1,0
2024-07-14,Pure Milky,"Каймак 350 гр, 45%",26490,1,0
2024-07-14,Mezon,"Кефир 0.5 л, 2.5%",5990,1,0
2024-07-14,Pure Milky,"Сметана 350 гр, 20%",17490,1,0
2024-07-14,Best,"Сметана 200 гр, 20%",8390,1,0
2024-07-14,Kamilka,"Катык 900 гр, 3%",15390,1,0
2024-07-14,Rash Milk,"Сметана 400 гр, 10%",7490,1,0
2024-07-14,Kamilka,"Сметана 200 гр, 20%",11990,1,0
2024-07-14,Kamilka,"Творожная паста 200 гр, 5%",12990,1,0
2024-07-14,Mezon,"Кефир 0.5 л, 2.5%",5990,1,0
2024-07-15,Best,"Кефир 500 мл, 2.5%",8990,1,0
2024-07-15,Kamilka,"Каймак 400 гр, 45%",28290,1,0
2024-07-15,Best,"Сметана 400 гр, 20%",12590,1,0
2024-07-15,Kamilka,"Сметана 400 гр, 20%",20590,1,0
2024-07-15,Dobroe,"Кефир 1 л, 1%",14590,1,0
2024-07-15,Best,Творожная паста 200 гр,6990,1,0
2024-07-15,Pure Milky,"Каймак 350 гр, 45%",26490,1,0
2024-07-15,Kamilka,"Катык 900 гр, 3%",15390,1,0
2024-07-15,Kamilka,"Сметана 200 гр, 20%",11990,1,0
2024-07-15,Kamilka,"Сметана 200 гр, 20%",11990,1,0
2024-07-15,Dobroe,"Кефир 1 л, 1%",14590,1,0
2024-07-15,Kamilka,"Творожная паста 200 гр, 5%",12990,1,0
2024-07-15,Pure Milky,"Сметана 180 гр, 20%",11490,1,0
2024-07-15,Dobroe,"Катык 1750 гр, 3.5%",19990,1,0
2024-07-15,Pure Milky,"Кефир 920 мл, 3.2%",15590,1,0
2024-07-15,Pure Milky,"Каймак 350 гр, 45%",26490,1,0
2024-07-15,Kamilka,"Кефир 450 гр, 3.2%",8590,1,0
2024-07-15,Mezon,"Каймак 200 гр, 45%",6890,1,0
2024-07-15,Kamilka,"Каймак 200 гр, 45%",15390,1,0
2024-07-15,Best,"Каймак 400 гр, 50%",12990,1,0
2024-07-15,Pure Milky,"Кефир 920 мл, 2.5%",15390,1,0
2024-07-15,Best,"Каймак 400 гр, 50%",12990,1,0
2024-07-15,Mezon,"Каймак 200 гр, 45%",6890,1,0
2024-07-15,Pure Milky,"Каймак 350 гр, 45%",26490,1,0
2024-07-15,Dobroe,"Каймак 400 гр, 35%",27990,1,0
2024-07-15,Kamilka,"Кефир 450 гр, 3.2%",8590,1,0
2024-07-15,Best,"Сметана 400 гр, 20%",12590,1,0
2024-07-15,Mezon,"Сметана 200 гр, 20%",5490,1,0
2024-07-15,Dobroe,"Катык 1750 гр, 3.5%",19990,1,0
2024-07-15,Pure Milky,"Кефир 920 мл, 1%",13590,1,0
