card_id,user_id,card_type,bank_name,payment_system
164,50,Other Bank,Aloqa Bank,Uzcard
165,51,Salom,TBC,Uzcard
166,51,Virtual Uzcard,TBC,Uzcard
167,51,Other Bank,Kapital Bank,Uzcard
168,51,Other Bank,Trast Bank,Humo
169,52,Osmon,TBC,Humo
170,52,Virtual Uzcard,TBC,Uzcard
171,52,Virtual Humo,TBC,Humo
172,53,Salom,TBC,Uzcard
173,53,Osmon,TBC,Humo
174,53,Virtual Uzcard,TBC,Uzcard
175,53,Virtual Humo,TBC,Humo
176,53,Other Bank,Hamkor Bank,Humo
177,53,Other Bank,Ipoteka Bank,Uzcard
178,54,Salom,TBC,Uzcard
179,54,Virtual Uzcard,TBC,Uzcard
180,55,Virtual Uzcard,TBC,Uzcard
181,55,Other Bank,Anor Bank,Humo
182,56,Salom,TBC,Uzcard
183,56,Other Bank,Xalq Bank,Humo
184,56,Other Bank,Anor Bank,Humo
185,57,Salom,TBC,Uzcard
186,57,Virtual Uzcard,TBC,Uzcard
187,57,Virtual Humo,TBC,Humo
188,57,Other Bank,Aloqa Bank,Uzcard
189,58,Other Bank,Infin Bank,Uzcard
190,59,Osmon,TBC,Humo
191,59,Virtual Uzcard,TBC,Uzcard
192,59,Virtual Humo,TBC,Humo
193,59,Other Bank,Aloqa Bank,Humo
194,59,Other Bank,Aloqa Bank,Humo
195,59,Other Bank,Xalq Bank,Humo
196,60,Virtual Uzcard,TBC,Uzcard
197,60,Virtual Humo,TBC,Humo
198,60,Other Bank,Anor Bank,Humo
199,61,Osmon,TBC,Humo
200,61,Virtual Uzcard,TBC,Uzcard
201,61,Virtual Humo,TBC,Humo
202,61,Other Bank,Trast Bank,Humo
203,61,Other Bank,Ipoteka Bank,Uzcard
204,61,Other Bank,Xalq Bank,Uzcard
205,62,Osmon,TBC,Humo
206,62,Virtual Uzcard,TBC,Uzcard
207,62,Virtual Humo,TBC,Humo
208,62,Other Bank,Anor Bank,Humo
209,63,Virtual Uzcard,TBC,Uzcard
210,63,Virtual Humo,TBC,Humo
211,63,Other Bank,Aloqa Bank,Uzcard
212,63,Other Bank,Ipoteka Bank,Humo
213,64,Virtual Uzcard,TBC,Uzcard
214,64,Other Bank,Infin Bank,Humo
215,64,Other Bank,Anor Bank,Uzcard
216,65,Virtual Uzcard,TBC,Uzcard
217,65,Other Bank,Kapital Bank,Humo
218,65,Other Bank,Anor Bank,Humo
219,66,Salom,TBC,Uzcard
220,66,Virtual Uzcard,TBC,Uzcard
221,66,Virtual Humo,TBC,Humo
222,66,Other Bank,Trast Bank,Uzcard
223,67,Salom,TBC,Uzcard
224,67,Osmon,TBC,Humo
225,67,Virtual Uzcard,TBC,Uzcard
226,67,Virtual Humo,TBC,Humo
227,68,Salom,TBC,Uzcard
228,68,Virtual Uzcard,TBC,Uzcard
229,68,Other Bank,Xalq Bank,Humo
230,68,Other Bank,Anor Bank,Uzcard
231,69,Salom,TBC,Uzcard
232,69,Virtual Uzcard,TBC,Uzcard
233,69,Virtual Humo,TBC,Humo
234,69,Other Bank,Hamkor Bank,Humo
235,69,Other Bank,Xalq Bank,Humo
236,70,Salom,TBC,Uzcard
237,70,Osmon,TBC,Humo
238,70,Other Bank,Kapital Bank,Humo
239,70,Other Bank,Aloqa Bank,Uzcard
240,71,Salom,TBC,Uzcard
241,71,Virtual Humo,TBC,Humo
242,72,Virtual Uzcard,TBC,Uzcard
243,72,Virtual Humo,TBC,Humo
244,73,Salom,TBC,Uzcard
245,73,Virtual Uzcard,TBC,Uzcard
246,73,Other Bank,Trast Bank,Uzcard
247,74,Virtual Uzcard,TBC,Uzcard
248,74,Other Bank,Ipoteka Bank,Uzcard
249,74,Other Bank,Anor Bank,Uzcard
250,75,Salom,TBC,Uzcard
251,75,Virtual Humo,TBC,Humo
252,76,Salom,TBC,Uzcard
253,76,Virtual Uzcard,TBC,Uzcard
254,76,Virtual Humo,TBC,Humo
255,76,Other Bank,Xalq Bank,Humo
256,77,Salom,TBC,Uzcard
257,77,Virtual Humo,TBC,Humo
258,77,Other Bank,Ipoteka Bank,Uzcard
259,78,Virtual Uzcard,TBC,Uzcard
260,78,Other Bank,Anor Bank,Humo
261,79,Salom,TBC,Uzcard
262,79,Osmon,TBC,Humo
263,79,Virtual Uzcard,TBC,Uzcard
264,79,Virtual Humo,TBC,Humo
265,79,Other Bank,Aloqa Bank,Uzcard
266,79,Other Bank,Ipoteka Bank,Humo
267,79,Other Bank,Anor Bank,Uzcard
268,80,Virtual Uzcard,TBC,Uzcard
269,80,Virtual Humo,TBC,Humo
270,80,Other Bank,Trast Bank,Humo
271,81,Salom,TBC,Uzcard
272,81,Virtual Humo,TBC,Humo
273,81,Other Bank,Kapital Bank,Uzcard
274,81,Other Bank,Ipoteka Bank,Uzcard
275,81,Other Bank,Kapital Bank,Uzcard
276,82,Other Bank,Anor Bank,Humo
277,82,Other Bank,Anor Bank,Uzcard
278,84,Osmon,TBC,Humo
279,84,Virtual Uzcard,TBC,Uzcard
280,84,Virtual Humo,TBC,Humo
281,84,Other Bank,Aloqa Bank,Uzcard
282,85,Salom,TBC,Uzcard
283,85,Virtual Uzcard,TBC,Uzcard
284,85,Virtual Humo,TBC,Humo
285,85,Other Bank,Hamkor Bank,Uzcard
286,86,Salom,TBC,Uzcard
287,86,Virtual Uzcard,TBC,Uzcard
288,86,Other Bank,Aloqa Bank,Uzcard
289,87,Salom,TBC,Uzcard
290,87,Virtual Humo,TBC,Humo
291,87,Other Bank,Hamkor Bank,Uzcard
292,88,Osmon,TBC,Humo
293,88,Virtual Uzcard,TBC,Uzcard
294,88,Virtual Humo,TBC,Humo
295,88,Other Bank,Ipoteka Bank,Humo
296,89,Salom,TBC,Uzcard
297,89,Osmon,TBC,Humo
298,89,Virtual Humo,TBC,Humo
299,90,Salom,TBC,Uzcard
300,90,Virtual Uzcard,TBC,Uzcard
301,90,Other Bank,Hamkor Bank,Humo
302,90,Other Bank,Trast Bank,Humo
303,91,Salom,TBC,Uzcard
304,91,Virtual Uzcard,TBC,Uzcard
305,91,Virtual Humo,TBC,Humo
306,92,Osmon,TBC,Humo
307,92,Virtual Uzcard,TBC,Uzcard
308,92,Other Bank,Hamkor Bank,Uzcard
309,93,Salom,TBC,Uzcard
310,93,Virtual Uzcard,TBC,Uzcard
311,93,Other Bank,Aloqa Bank,Humo
312,94,Virtual Uzcard,TBC,Uzcard
313,94,Virtual Humo,TBC,Humo
314,95,Salom,TBC,Uzcard
315,95,Virtual Humo,TBC,Humo
316,96,Osmon,TBC,Humo
317,96,Virtual Uzcard,TBC,Uzcard
318,96,Virtual Humo,TBC,Humo
319,96,Other Bank,Kapital Bank,Humo
320,97,Salom,TBC,Uzcard
321,97,Virtual Uzcard,TBC,Uzcard
322,97,Virtual Humo,TBC,Humo
323,97,Other Bank,Hamkor Bank,Humo
324,97,Other Bank,Aloqa Bank,Uzcard
325,98,Osmon,TBC,Humo
326,98,Virtual Uzcard,TBC,Uzcard
327,99,Salom,TBC,Uzcard
328,99,Osmon,TBC,Humo
329,99,Virtual Humo,TBC,Humo
330,99,Other Bank,Aloqa Bank,Humo
331,99,Other Bank,Hamkor Bank,Uzcard
332,100,Salom,TBC,Uzcard
333,100,Osmon,TBC,Humo
334,100,Virtual Humo,TBC,Humo
335,100,Other Bank,Trast Bank,Humo
336,100,Other Bank,Anor Bank,Humo
337,101,Salom,TBC,Uzcard
338,102,Osmon,TBC,Humo
339,102,Virtual Humo,TBC,Humo
340,102,Other Bank,Xalq Bank,Humo
341,102,Other Bank,Xalq Bank,Uzcard
342,102,Other Bank,Xalq Bank,Uzcard
343,103,Salom,TBC,Uzcard
344,103,Virtual Humo,TBC,Humo
345,104,Osmon,TBC,Humo
346,104,Virtual Uzcard,TBC,Uzcard
347,105,Salom,TBC,Uzcard
348,105,Osmon,TBC,Humo
349,105,Virtual Uzcard,TBC,Uzcard
350,105,Other Bank,Hamkor Bank,Uzcard
351,105,Other Bank,Xalq Bank,Uzcard
352,105,Other Bank,Hamkor Bank,Humo
353,106,Salom,TBC,Uzcard
354,106,Virtual Uzcard,TBC,Uzcard
355,106,Virtual Humo,TBC,Humo
356,106,Other Bank,Kapital Bank,Humo
357,106,Other Bank,Trast Bank,Uzcard
358,106,Other Bank,Xalq Bank,Uzcard
359,107,Salom,TBC,Uzcard
360,107,Osmon,TBC,Humo
361,107,Virtual Uzcard,TBC,Uzcard
362,107,Virtual Humo,TBC,Humo
363,107,Other Bank,Aloqa Bank,Uzcard
364,107,Other Bank,Hamkor Bank,Humo
365,107,Other Bank,Trast Bank,Uzcard
366,108,Salom,TBC,Uzcard
367,108,Virtual Uzcard,TBC,Uzcard
368,108,Virtual Humo,TBC,Humo
369,109,Salom,TBC,Uzcard
370,109,Virtual Humo,TBC,Humo
371,109,Other Bank,Ipoteka Bank,Humo
372,110,Osmon,TBC,Humo
373,110,Virtual Uzcard,TBC,Uzcard
374,110,Virtual Humo,TBC,Humo
375,110,Other Bank,Aloqa Bank,Humo
376,110,Other Bank,Aloqa Bank,Uzcard
377,111,Virtual Uzcard,TBC,Uzcard
378,111,Other Bank,Aloqa Bank,Uzcard
379,111,Other Bank,Anor Bank,Humo
380,111,Other Bank,Anor Bank,Uzcard
381,112,Salom,TBC,Uzcard
382,112,Virtual Uzcard,TBC,Uzcard
383,113,Other Bank,Hamkor Bank,Humo
384,114,Salom,TBC,Uzcard
385,114,Other Bank,Kapital Bank,Uzcard
386,115,Salom,TBC,Uzcard
387,115,Osmon,TBC,Humo
388,115,Virtual Uzcard,TBC,Uzcard
389,115,Virtual Humo,TBC,Humo
390,115,Other Bank,Anor Bank,Humo
391,116,Salom,TBC,Uzcard
392,116,Virtual Uzcard,TBC,Uzcard
393,116,Other Bank,Trast Bank,Humo
394,117,Virtual Humo,TBC,Humo
395,117,Other Bank,Trast Bank,Uzcard
396,118,Salom,TBC,Uzcard
397,118,Osmon,TBC,Humo
398,118,Virtual Uzcard,TBC,Uzcard
399,118,Other Bank,Trast Bank,Uzcard
400,119,Salom,TBC,Uzcard
401,119,Osmon,TBC,Humo
402,119,Other Bank,Trast Bank,Humo
403,119,Other Bank,Hamkor Bank,Uzcard
404,120,Virtual Uzcard,TBC,Uzcard
405,120,Other Bank,Trast Bank,Uzcard
406,120,Other Bank,Ipoteka Bank,Uzcard
407,120,Other Bank,Aloqa Bank,Humo
408,121,Virtual Humo,TBC,Humo
409,121,Other Bank,Kapital Bank,Humo
410,122,Virtual Uzcard,TBC,Uzcard
411,122,Virtual Humo,TBC,Humo
412,122,Other Bank,Aloqa Bank,Uzcard
413,122,Other Bank,Hamkor Bank,Humo
414,123,Salom,TBC,Uzcard
415,123,Virtual Humo,TBC,Humo
416,123,Other Bank,Infin Bank,Humo
417,123,Other Bank,Ipoteka Bank,Uzcard
418,124,Salom,TBC,Uzcard
419,124,Virtual Uzcard,TBC,Uzcard
420,124,Virtual Humo,TBC,Humo
421,124,Other Bank,Infin Bank,Humo
422,124,Other Bank,Kapital Bank,Uzcard
423,124,Other Bank,Infin Bank,Humo
424,125,Salom,TBC,Uzcard
425,125,Virtual Uzcard,TBC,Uzcard
426,125,Virtual Humo,TBC,Humo
427,125,Other Bank,Xalq Bank,Uzcard
428,126,Salom,TBC,Uzcard
429,126,Virtual Uzcard,TBC,Uzcard
430,126,Other Bank,Anor Bank,Humo
431,127,Salom,TBC,Uzcard
432,127,Virtual Uzcard,TBC,Uzcard
433,127,Other Bank,Ipoteka Bank,Uzcard
434,128,Salom,TBC,Uzcard
435,128,Osmon,TBC,Humo
436,128,Virtual Humo,TBC,Humo
437,128,Other Bank,Aloqa Bank,Uzcard
438,128,Other Bank,Infin Bank,Uzcard
439,129,Salom,TBC,Uzcard
440,129,Virtual Uzcard,TBC,Uzcard
441,129,Other Bank,Ipoteka Bank,Uzcard
442,130,Osmon,TBC,Humo
443,130,Virtual Uzcard,TBC,Uzcard
444,130,Virtual Humo,TBC,Humo
445,131,Virtual Uzcard,TBC,Uzcard
446,131,Other Bank,Aloqa Bank,Humo
447,131,Other Bank,Aloqa Bank,Uzcard
448,132,Salom,TBC,Uzcard
449,132,Osmon,TBC,Humo
450,132,Virtual Uzcard,TBC,Uzcard
451,132,Other Bank,Xalq Bank,Uzcard
452,132,Other Bank,Trast Bank,Uzcard
453,133,Salom,TBC,Uzcard
454,133,Osmon,TBC,Humo
455,133,Virtual Uzcard,TBC,Uzcard
456,133,Virtual Humo,TBC,Humo
457,133,Other Bank,Anor Bank,Uzcard
458,134,Osmon,TBC,Humo
459,134,Virtual Uzcard,TBC,Uzcard
460,134,Other Bank,Hamkor Bank,Uzcard
461,134,Other Bank,Kapital Bank,Uzcard
462,135,Salom,TBC,Uzcard
463,135,Virtual Uzcard,TBC,Uzcard
464,135,Virtual Humo,TBC,Humo
465,135,Other Bank,Aloqa Bank,Uzcard
466,135,Other Bank,Aloqa Bank,Uzcard
467,136,Salom,TBC,Uzcard
468,136,Virtual Uzcard,TBC,Uzcard
469,136,Other Bank,Hamkor Bank,Humo
470,137,Salom,TBC,Uzcard
471,137,Osmon,TBC,Humo
472,137,Virtual Uzcard,TBC,Uzcard
473,137,Other Bank,Xalq Bank,Humo
474,137,Other Bank,Anor Bank,Uzcard
475,137,Other Bank,Infin Bank,Humo
476,138,Salom,TBC,Uzcard
477,138,Virtual Humo,TBC,Humo
478,138,Other Bank,Infin Bank,Uzcard
479,139,Salom,TBC,Uzcard
480,139,Osmon,TBC,Humo
481,139,Virtual Uzcard,TBC,Uzcard
482,139,Other Bank,Kapital Bank,Humo
483,139,Other Bank,Infin Bank,Uzcard
484,140,Virtual Humo,TBC,Humo
485,140,Other Bank,Kapital Bank,Humo
486,140,Other Bank,Kapital Bank,Humo
487,141,Salom,TBC,Uzcard
488,141,Virtual Uzcard,TBC,Uzcard
489,141,Other Bank,Xalq Bank,Humo
490,141,Other Bank,Kapital Bank,Uzcard
491,142,Virtual Humo,TBC,Humo
492,143,Salom,TBC,Uzcard
493,143,Osmon,TBC,Humo
494,143,Virtual Uzcard,TBC,Uzcard
495,143,Virtual Humo,TBC,Humo
496,144,Salom,TBC,Uzcard
497,144,Virtual Uzcard,TBC,Uzcard
498,144,Other Bank,Kapital Bank,Humo
499,145,Salom,TBC,Uzcard
500,145,Virtual Uzcard,TBC,Uzcard
501,145,Other Bank,Anor Bank,Uzcard
502,145,Other Bank,Hamkor Bank,Humo
503,146,Salom,TBC,Uzcard
504,146,Virtual Humo,TBC,Humo
505,147,Salom,TBC,Uzcard
506,147,Virtual Humo,TBC,Humo
507,148,Osmon,TBC,Humo
508,148,Virtual Uzcard,TBC,Uzcard
509,148,Other Bank,Kapital Bank,Uzcard
510,149,Osmon,TBC,Humo
511,149,Virtual Uzcard,TBC,Uzcard
512,149,Virtual Humo,TBC,Humo
513,149,Other Bank,Ipoteka Bank,Uzcard
514,150,Salom,TBC,Uzcard
515,150,Virtual Humo,TBC,Humo
516,150,Other Bank,Kapital Bank,Humo
517,150,Other Bank,Kapital Bank,Humo
518,151,Salom,TBC,Uzcard
519,151,Virtual Humo,TBC,Humo
520,151,Other Bank,Aloqa Bank,Humo
521,151,Other Bank,Infin Bank,Humo
522,151,Other Bank,Infin Bank,Uzcard
523,152,Salom,TBC,Uzcard
524,152,Virtual Uzcard,TBC,Uzcard
525,152,Other Bank,Aloqa Bank,Uzcard
526,153,Salom,TBC,Uzcard
527,153,Virtual Uzcard,TBC,Uzcard
528,153,Virtual Humo,TBC,Humo
529,154,Salom,TBC,Uzcard
530,154,Osmon,TBC,Humo
531,154,Virtual Humo,TBC,Humo
532,154,Other Bank,Ipoteka Bank,Uzcard
533,154,Other Bank,Anor Bank,Uzcard
534,155,Salom,TBC,Uzcard
535,155,Virtual Uzcard,TBC,Uzcard
536,156,Salom,TBC,Uzcard
537,156,Virtual Humo,TBC,Humo
538,156,Other Bank,Xalq Bank,Humo
539,156,Other Bank,Xalq Bank,Uzcard
540,156,Other Bank,Hamkor Bank,Uzcard
541,157,Salom,TBC,Uzcard
542,157,Virtual Uzcard,TBC,Uzcard
543,157,Virtual Humo,TBC,Humo
544,157,Other Bank,Ipoteka Bank,Humo
545,158,Salom,TBC,Uzcard
546,158,Virtual Uzcard,TBC,Uzcard
547,158,Other Bank,Hamkor Bank,Humo
548,158,Other Bank,Ipoteka Bank,Uzcard
549,158,Other Bank,Ipoteka Bank,Humo
550,159,Virtual Humo,TBC,Humo
551,160,Salom,TBC,Uzcard
552,160,Osmon,TBC,Humo
553,160,Virtual Uzcard,TBC,Uzcard
554,160,Other Bank,Ipoteka Bank,Uzcard
555,160,Other Bank,Aloqa Bank,Uzcard
556,160,Other Bank,Kapital Bank,Humo
557,161,Salom,TBC,Uzcard
558,161,Osmon,TBC,Humo
559,161,Virtual Uzcard,TBC,Uzcard
560,162,Salom,TBC,Uzcard
561,162,Osmon,TBC,Humo
562,162,Virtual Uzcard,TBC,Uzcard
563,162,Virtual Humo,TBC,Humo
564,163,Osmon,TBC,Humo
565,163,Virtual Humo,TBC,Humo
566,164,Salom,TBC,Uzcard
567,164,Osmon,TBC,Humo
568,165,Virtual Humo,TBC,Humo
569,165,Other Bank,Anor Bank,Humo
570,166,Osmon,TBC,Humo
571,166,Virtual Uzcard,TBC,Uzcard
572,166,Virtual Humo,TBC,Humo
573,166,Other Bank,Trast Bank,Humo
574,166,Other Bank,Aloqa Bank,Uzcard
575,167,Salom,TBC,Uzcard
576,167,Virtual Uzcard,TBC,Uzcard
577,167,Other Bank,Trast Bank,Uzcard
578,167,Other Bank,Kapital Bank,Humo
579,168,Salom,TBC,Uzcard
580,168,Virtual Uzcard,TBC,Uzcard
581,169,Salom,TBC,Uzcard
582,169,Osmon,TBC,Humo
583,169,Virtual Uzcard,TBC,Uzcard
584,169,Virtual Humo,TBC,Humo
585,169,Other Bank,Infin Bank,Humo
586,170,Salom,TBC,Uzcard
587,170,Virtual Uzcard,TBC,Uzcard
588,170,Virtual Humo,TBC,Humo
589,170,Other Bank,Xalq Bank,Uzcard
590,171,Salom,TBC,Uzcard
591,171,Virtual Uzcard,TBC,Uzcard
592,171,Other Bank,Trast Bank,Uzcard
593,171,Other Bank,Xalq Bank,Humo
594,172,Virtual Uzcard,TBC,Uzcard
595,172,Other Bank,Trast Bank,Humo
596,172,Other Bank,Ipoteka Bank,Uzcard
597,173,Salom,TBC,Uzcard
598,173,Virtual Uzcard,TBC,Uzcard
599,173,Other Bank,Trast Bank,Uzcard
600,174,Salom,TBC,Uzcard
601,174,Virtual Uzcard,TBC,Uzcard
602,175,Salom,TBC,Uzcard
603,175,Virtual Uzcard,TBC,Uzcard
604,176,Salom,TBC,Uzcard
605,176,Virtual Uzcard,TBC,Uzcard
606,176,Other Bank,Xalq Bank,Humo
607,176,Other Bank,Kapital Bank,Humo
608,177,Virtual Uzcard,TBC,Uzcard
609,177,Other Bank,Hamkor Bank,Humo
610,178,Salom,TBC,Uzcard
611,178,Osmon,TBC,Humo
612,178,Virtual Uzcard,TBC,Uzcard
613,179,Salom,TBC,Uzcard
614,179,Virtual Uzcard,TBC,Uzcard
615,179,Virtual Humo,TBC,Humo
616,180,Salom,TBC,Uzcard
617,180,Virtual Uzcard,TBC,Uzcard
618,180,Virtual Humo,TBC,Humo
619,180,Other Bank,Ipoteka Bank,Uzcard
620,181,Salom,TBC,Uzcard
621,181,Osmon,TBC,Humo
622,181,Virtual Uzcard,TBC,Uzcard
623,181,Other Bank,Trast Bank,Uzcard
624,181,Other Bank,Trast Bank,Uzcard
625,182,Salom,TBC,Uzcard
626,182,Virtual Uzcard,TBC,Uzcard
627,182,Virtual Humo,TBC,Humo
628,183,Salom,TBC,Uzcard
629,183,Osmon,TBC,Humo
630,183,Virtual Uzcard,TBC,Uzcard
631,183,Virtual Humo,TBC,Humo
632,183,Other Bank,Trast Bank,Uzcard
633,184,Salom,TBC,Uzcard
634,184,Virtual Uzcard,TBC,Uzcard
635,184,Other Bank,Kapital Bank,Uzcard
636,185,Salom,TBC,Uzcard
637,185,Osmon,TBC,Humo
638,185,Virtual Uzcard,TBC,Uzcard
639,185,Virtual Humo,TBC,Humo
640,185,Other Bank,Aloqa Bank,Humo
641,185,Other Bank,Anor Bank,Humo
642,186,Virtual Uzcard,TBC,Uzcard
643,186,Virtual Humo,TBC,Humo
644,186,Other Bank,Xalq Bank,Humo
645,186,Other Bank,Trast Bank,Humo
646,187,Virtual Uzcard,TBC,Uzcard
647,187,Virtual Humo,TBC,Humo
648,187,Other Bank,Trast Bank,Uzcard
649,188,Salom,TBC,Uzcard
650,188,Osmon,TBC,Humo
651,188,Virtual Uzcard,TBC,Uzcard
652,188,Other Bank,Infin Bank,Humo
653,188,Other Bank,Xalq Bank,Humo
654,189,Salom,TBC,Uzcard
655,189,Virtual Humo,TBC,Humo
656,189,Other Bank,Aloqa Bank,Uzcard
